Species_original,Species_standardised,Reference,Trait,Temperature,Trait_value,Trait_unit,Latitude,Longitude
Cyclotella meneghiniana,Cyclotella meneghiniana,Mitrovic et al. (2010),growth rate,25,8.10E-06,s^-1,NA,NA
Cyclotella meneghiniana,Cyclotella meneghiniana,Mitrovic et al. (2010),growth rate,28,5.09E-06,s^-1,NA,NA
Cyclotella meneghiniana,Cyclotella meneghiniana,Mitrovic et al. (2010),growth rate,13,7.06E-06,s^-1,NA,NA
Cyclotella meneghiniana,Cyclotella meneghiniana,Mitrovic et al. (2010),growth rate,16,0.000009375,s^-1,NA,NA
Cyclotella meneghiniana,Cyclotella meneghiniana,Mitrovic et al. (2010),growth rate,19,1.11E-05,s^-1,NA,NA
Cyclotella meneghiniana,Cyclotella meneghiniana,Mitrovic et al. (2010),growth rate,22,1.19E-05,s^-1,NA,NA
Cyclotella meneghiniana,Cyclotella meneghiniana,Mitrovic et al. (2010),growth rate,25,1.40E-05,s^-1,NA,NA
Cyclotella meneghiniana,Cyclotella meneghiniana,Mitrovic et al. (2010),growth rate,28,1.08E-05,s^-1,NA,NA
Cyclotella nana,Cyclotella nana,Guillard and Ryther (1962),growth rate,10,1.69E-05,s^-1,NA,NA
Cyclotella nana,Cyclotella nana,Guillard and Ryther (1962),growth rate,15,1.69E-05,s^-1,NA,NA
Cyclotella nana,Cyclotella nana,Guillard and Ryther (1962),growth rate,20,2.73E-05,s^-1,NA,NA
Cylindrotheca closterium,Cylindrotheca closterium,Maddux & Jones (1964),growth rate,10,1.74E-06,s^-1,40.44,-73.98
Cylindrotheca closterium,Cylindrotheca closterium,Maddux & Jones (1964),growth rate,16,5.21E-06,s^-1,40.44,-73.98
Cylindrotheca closterium,Cylindrotheca closterium,Maddux & Jones (1964),growth rate,22.5,6.60E-06,s^-1,40.44,-73.98
Cylindrotheca closterium,Cylindrotheca closterium,Maddux & Jones (1964),growth rate,31,3.47E-06,s^-1,40.44,-73.98
Cylindrotheca closterium,Cylindrotheca closterium,Renaud et al. (1995),growth rate,10,0,s^-1,-12.48,130.8
Cylindrotheca closterium,Cylindrotheca closterium,Renaud et al. (1995),growth rate,15,0,s^-1,-12.48,130.8
Cylindrotheca closterium,Cylindrotheca closterium,Renaud et al. (1995),growth rate,20,4.40E-06,s^-1,-12.48,130.8
Cylindrotheca closterium,Cylindrotheca closterium,Renaud et al. (1995),growth rate,25,4.40E-06,s^-1,-12.48,130.8
Cylindrotheca closterium,Cylindrotheca closterium,Renaud et al. (1995),growth rate,30,0.000003588,s^-1,-12.48,130.8
Cylindrotheca closterium,Cylindrotheca closterium,Renaud et al. (1995),growth rate,35,9.26E-07,s^-1,-12.48,130.8
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,9,0.000003588,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,9,3.82E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,9,4.05E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,9,4.40E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,9,4.63E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,9,4.75E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,9,4.86E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,9,5.09E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,9,5.21E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,9,5.32E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,9,5.67E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,12,5.67E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,12,0.00000625,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,12,6.60E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,12,7.06E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,12,7.18E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,12,7.41E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,12,7.52E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,12,7.99E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,12,8.10E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,12,8.45E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,12,9.26E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,12,9.49E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,12,9.61E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,18,0.000006713,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,18,7.41E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,18,7.75E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,18,8.33E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,18,8.80E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,18,9.03E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,18,9.14E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,18,9.26E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,18,0.000009375,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,18,9.49E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,18,0.000009838,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,25,4.51E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,25,4.98E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,25,5.44E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,25,6.37E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,25,0.000006713,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,25,7.99E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,25,8.22E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,25,8.80E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,25,9.03E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,25,9.14E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,25,9.26E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,25,0.000009375,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,25,9.72E-06,s^-1,41.57,-71.34
Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),growth rate,30,7.29E-06,s^-1,41.57,-71.34
Desmidium swartzii,Desmidium swartzii,Moss (1973),growth rate,4,0,s^-1,NA,NA
Desmidium swartzii,Desmidium swartzii,Moss (1973),growth rate,10,9.26E-07,s^-1,NA,NA
Desmidium swartzii,Desmidium swartzii,Moss (1973),growth rate,14,1.39E-06,s^-1,NA,NA
Desmidium swartzii,Desmidium swartzii,Moss (1973),growth rate,20,1.39E-06,s^-1,NA,NA
Desmidium swartzii,Desmidium swartzii,Moss (1973),growth rate,24,1.74E-06,s^-1,NA,NA
Desmidium swartzii,Desmidium swartzii,Moss (1973),growth rate,30,1.50E-06,s^-1,NA,NA
Desmidium swartzii,Desmidium swartzii,Moss (1973),growth rate,35,3.47E-07,s^-1,NA,NA
Detonula confervacea,Detonula confervacea,Guillard & Ryther (1962),growth rate,4,6.48E-06,s^-1,41.57,-71.34
Detonula confervacea,Detonula confervacea,Guillard & Ryther (1962),growth rate,10,1.12E-05,s^-1,41.57,-71.34
Detonula confervacea,Detonula confervacea,Guillard & Ryther (1962),growth rate,15,6.37E-06,s^-1,41.57,-71.34
Detonula confervacea,Detonula confervacea,Guillard & Ryther (1962),growth rate,20,0,s^-1,41.57,-71.34
Detonula confervacea,Detonula confervacea,Smayda (1969),growth rate,2,4.05E-06,s^-1,41.57,-71.34
Detonula confervacea,Detonula confervacea,Smayda (1969),growth rate,2,4.63E-06,s^-1,41.57,-71.34
Detonula confervacea,Detonula confervacea,Smayda (1969),growth rate,7,7.75E-06,s^-1,41.57,-71.34
Detonula confervacea,Detonula confervacea,Smayda (1969),growth rate,7,1.01E-05,s^-1,41.57,-71.34
Detonula confervacea,Detonula confervacea,Smayda (1969),growth rate,7,1.04E-05,s^-1,41.57,-71.34
Detonula confervacea,Detonula confervacea,Smayda (1969),growth rate,12,3.82E-06,s^-1,41.57,-71.34
Detonula confervacea,Detonula confervacea,Smayda (1969),growth rate,12,7.99E-06,s^-1,41.57,-71.34
Detonula confervacea,Detonula confervacea,Smayda (1969),growth rate,12,0.000012037,s^-1,41.57,-71.34
Detonula confervacea,Detonula confervacea,Smayda (1969),growth rate,16,0,s^-1,41.57,-71.34
Detonula confervacea,Detonula confervacea,Suzuki and Takahashi (1995),growth rate,-1.8,3.89E-06,s^-1,44.14,143.79
Detonula confervacea,Detonula confervacea,Suzuki and Takahashi (1995),growth rate,0,6.89E-06,s^-1,44.14,143.79
Detonula confervacea,Detonula confervacea,Suzuki and Takahashi (1995),growth rate,2,7.21E-06,s^-1,44.14,143.79
Detonula confervacea,Detonula confervacea,Suzuki and Takahashi (1995),growth rate,5,9.04E-06,s^-1,44.14,143.79
Detonula confervacea,Detonula confervacea,Suzuki and Takahashi (1995),growth rate,10,1.03E-05,s^-1,44.14,143.79
Detonula confervacea,Detonula confervacea,Suzuki and Takahashi (1995),growth rate,15,0,s^-1,44.14,143.79
Dinobryon divergens,Dinobryon divergens,Butterwick et al. (2005),growth rate,2,1.62E-06,s^-1,54.436,-2.968
Dinobryon divergens,Dinobryon divergens,Butterwick et al. (2005),growth rate,5,2.31E-06,s^-1,54.436,-2.968
Dinobryon divergens,Dinobryon divergens,Butterwick et al. (2005),growth rate,8,3.47E-06,s^-1,54.436,-2.968
Dinobryon divergens,Dinobryon divergens,Butterwick et al. (2005),growth rate,11,4.05E-06,s^-1,54.436,-2.968
Dinobryon divergens,Dinobryon divergens,Butterwick et al. (2005),growth rate,14,5.32E-06,s^-1,54.436,-2.968
Dinobryon divergens,Dinobryon divergens,Butterwick et al. (2005),growth rate,17,5.32E-06,s^-1,54.436,-2.968
Dinobryon divergens,Dinobryon divergens,Butterwick et al. (2005),growth rate,17,0.000005787,s^-1,54.436,-2.968
Dinobryon divergens,Dinobryon divergens,Butterwick et al. (2005),growth rate,20,4.51E-06,s^-1,54.436,-2.968
Dinobryon divergens,Dinobryon divergens,Butterwick et al. (2005),growth rate,25,3.01E-06,s^-1,54.436,-2.968
Dinobryon divergens,Dinobryon divergens,Butterwick et al. (2005),growth rate,30,0,s^-1,54.436,-2.968
Ditylum brightwellii,Ditylum brightwellii,Baars (1981),growth rate,0,1.74E-06,s^-1,NA,NA
Ditylum brightwellii,Ditylum brightwellii,Baars (1981),growth rate,6,6.48E-06,s^-1,NA,NA
Ditylum brightwellii,Ditylum brightwellii,Baars (1981),growth rate,12,0.000012963,s^-1,NA,NA
Ditylum brightwellii,Ditylum brightwellii,Baars (1981),growth rate,20,1.22E-05,s^-1,NA,NA
Ditylum brightwellii,Ditylum brightwellii,Baars (1981),growth rate,26,7.41E-06,s^-1,NA,NA
Ditylum brightwellii,Ditylum brightwellii,Baars (1981),growth rate,30,0.0000125,s^-1,NA,NA
Ditylum brightwellii,Ditylum brightwellii,Montagnes and Franklin (2001),growth rate,9,4.75E-06,s^-1,NA,NA
Ditylum brightwellii,Ditylum brightwellii,Montagnes and Franklin (2001),growth rate,12,7.29E-06,s^-1,NA,NA
Ditylum brightwellii,Ditylum brightwellii,Montagnes and Franklin (2001),growth rate,13,0.000005787,s^-1,NA,NA
Ditylum brightwellii,Ditylum brightwellii,Montagnes and Franklin (2001),growth rate,16,7.99E-06,s^-1,NA,NA
Ditylum brightwellii,Ditylum brightwellii,Montagnes and Franklin (2001),growth rate,20,8.45E-06,s^-1,NA,NA
Ditylum brightwellii,Ditylum brightwellii,Montagnes and Franklin (2001),growth rate,25,7.87E-06,s^-1,NA,NA
Ditylum brightwellii,Ditylum brightwellii,Paasche (1968),growth rate,13,1.02E-05,s^-1,NA,NA
Ditylum brightwellii,Ditylum brightwellii,Paasche (1968),growth rate,20,1.70E-05,s^-1,NA,NA
Ditylum brightwellii,Ditylum brightwellii,Paasche (1968),growth rate,26,2.00E-05,s^-1,NA,NA
Ditylum brightwellii,Ditylum brightwellii,Paasche (1968),growth rate,30,1.49E-05,s^-1,NA,NA
Dunaliella tertiolecta strain CCAP 19/6B,Dunaliella tertiolecta,Reay et al. (1999),growth rate,10,0.0000125,s^-1,59.5,10.6
Dunaliella tertiolecta strain CCAP 19/6B,Dunaliella tertiolecta,Reay et al. (1999),growth rate,15,2.64E-05,s^-1,59.5,10.6
Dunaliella tertiolecta strain CCAP 19/6B,Dunaliella tertiolecta,Reay et al. (1999),growth rate,20,2.78E-05,s^-1,59.5,10.6
Dunaliella tertiolecta strain CCAP 19/6B,Dunaliella tertiolecta,Reay et al. (1999),growth rate,25,2.16E-05,s^-1,59.5,10.6
Dunaliella tertiolecta,Dunaliella tertiolecta,Sosik and Mitchell (1994),growth rate,12,0.00000625,s^-1,NA,NA
Dunaliella tertiolecta,Dunaliella tertiolecta,Sosik and Mitchell (1994),growth rate,16,1.16E-05,s^-1,NA,NA
Dunaliella tertiolecta,Dunaliella tertiolecta,Sosik and Mitchell (1994),growth rate,18,1.35E-05,s^-1,NA,NA
Dunaliella tertiolecta,Dunaliella tertiolecta,Sosik and Mitchell (1994),growth rate,28,2.59E-05,s^-1,NA,NA
Dunaliella tertiolecta,Dunaliella tertiolecta,Thompson et al. (1992),growth rate,10,1.62E-06,s^-1,NA,NA
Dunaliella tertiolecta,Dunaliella tertiolecta,Thompson et al. (1992),growth rate,10,3.24E-06,s^-1,NA,NA
Dunaliella tertiolecta,Dunaliella tertiolecta,Thompson et al. (1992),growth rate,15,7.06E-06,s^-1,NA,NA
Dunaliella tertiolecta,Dunaliella tertiolecta,Thompson et al. (1992),growth rate,15,8.10E-06,s^-1,NA,NA
Dunaliella tertiolecta,Dunaliella tertiolecta,Thompson et al. (1992),growth rate,15,8.80E-06,s^-1,NA,NA
Dunaliella tertiolecta,Dunaliella tertiolecta,Thompson et al. (1992),growth rate,17,1.47E-05,s^-1,NA,NA
Dunaliella tertiolecta,Dunaliella tertiolecta,Thompson et al. (1992),growth rate,17,1.62E-05,s^-1,NA,NA
Dunaliella tertiolecta,Dunaliella tertiolecta,Thompson et al. (1992),growth rate,20,1.24E-05,s^-1,NA,NA
Dunaliella tertiolecta,Dunaliella tertiolecta,Thompson et al. (1992),growth rate,20,1.38E-05,s^-1,NA,NA
Dunaliella tertiolecta,Dunaliella tertiolecta,Thompson et al. (1992),growth rate,25,1.62E-05,s^-1,NA,NA
Dunaliella tertiolecta,Dunaliella tertiolecta,Thompson et al. (1992),growth rate,25,1.97E-05,s^-1,NA,NA
Dunaliella tertiolecta,Dunaliella tertiolecta,Thompson et al. (1992),growth rate,25,2.08E-05,s^-1,NA,NA
Emiliania huxleyi R strain TQ26,Pontosphaera huxleyi,Buitenhuis et al. (2008),growth rate,6,0.000003588,s^-1,-42.18,169.5
Emiliania huxleyi R strain TQ26,Pontosphaera huxleyi,Buitenhuis et al. (2008),growth rate,9,2.43E-06,s^-1,-42.18,169.5
Emiliania huxleyi R strain TQ26,Pontosphaera huxleyi,Buitenhuis et al. (2008),growth rate,12,7.64E-06,s^-1,-42.18,169.5
Emiliania huxleyi R strain TQ26,Pontosphaera huxleyi,Buitenhuis et al. (2008),growth rate,15,1.10E-05,s^-1,-42.18,169.5
Emiliania huxleyi R strain TQ26,Pontosphaera huxleyi,Buitenhuis et al. (2008),growth rate,20,1.60E-05,s^-1,-42.18,169.5
Emiliania huxleyi R strain TQ26,Pontosphaera huxleyi,Buitenhuis et al. (2008),growth rate,25,9.14E-06,s^-1,-42.18,169.5
Emiliania huxleyi strain G1779Ga,Pontosphaera huxleyi,Conte et al. (1998),growth rate,6,2.89E-06,s^-1,60,-20
Emiliania huxleyi strain G1779Ga,Pontosphaera huxleyi,Conte et al. (1998),growth rate,9,4.98E-06,s^-1,60,-20
Emiliania huxleyi strain G1779Ga,Pontosphaera huxleyi,Conte et al. (1998),growth rate,12,7.29E-06,s^-1,60,-20
Emiliania huxleyi strain G1779Ga,Pontosphaera huxleyi,Conte et al. (1998),growth rate,18,1.08E-05,s^-1,60,-20
Emiliania huxleyi strain G1779Ga,Pontosphaera huxleyi,Conte et al. (1998),growth rate,21,1.40E-05,s^-1,60,-20
Emiliania huxleyi strain G1779Ga,Pontosphaera huxleyi,Conte et al. (1998),growth rate,24,1.26E-05,s^-1,60,-20
Emiliania huxleyi strain G1779Ga,Pontosphaera huxleyi,Conte et al. (1998),growth rate,27,9.61E-06,s^-1,60,-20
Emiliania huxleyi strain B92/21,Pontosphaera huxleyi,Conte et al. (1998),growth rate,6,4.17E-06,s^-1,60.43,5.63
Emiliania huxleyi strain B92/21,Pontosphaera huxleyi,Conte et al. (1998),growth rate,9,5.90E-06,s^-1,60.43,5.63
Emiliania huxleyi strain B92/21,Pontosphaera huxleyi,Conte et al. (1998),growth rate,12,6.48E-06,s^-1,60.43,5.63
Emiliania huxleyi strain B92/21,Pontosphaera huxleyi,Conte et al. (1998),growth rate,15,8.33E-06,s^-1,60.43,5.63
Emiliania huxleyi strain B92/21,Pontosphaera huxleyi,Conte et al. (1998),growth rate,18,1.10E-05,s^-1,60.43,5.63
Emiliania huxleyi strain B92/21,Pontosphaera huxleyi,Conte et al. (1998),growth rate,21,1.06E-05,s^-1,60.43,5.63
Emiliania huxleyi strain B92/21,Pontosphaera huxleyi,Conte et al. (1998),growth rate,24,9.26E-06,s^-1,60.43,5.63
Emiliania huxleyi strain B92/21,Pontosphaera huxleyi,Conte et al. (1998),growth rate,27,0,s^-1,60.43,5.63
Emiliania huxleyi strain Van556,Pontosphaera huxleyi,Conte et al. (1998),growth rate,6,6.37E-06,s^-1,49.67,-144.67
Emiliania huxleyi strain Van556,Pontosphaera huxleyi,Conte et al. (1998),growth rate,9,7.29E-06,s^-1,49.67,-144.67
Emiliania huxleyi strain Van556,Pontosphaera huxleyi,Conte et al. (1998),growth rate,12,7.64E-06,s^-1,49.67,-144.67
Emiliania huxleyi strain Van556,Pontosphaera huxleyi,Conte et al. (1998),growth rate,18,8.80E-06,s^-1,49.67,-144.67
Emiliania huxleyi strain Van556,Pontosphaera huxleyi,Conte et al. (1998),growth rate,24,6.83E-06,s^-1,49.67,-144.67
Emiliania huxleyi strain Van556,Pontosphaera huxleyi,Conte et al. (1998),growth rate,27,1.16E-07,s^-1,49.67,-144.67
"Emiliania huxleyi strain M181, Bigelow 1A1",Pontosphaera huxleyi,Conte et al. (1998),growth rate,9,1.97E-06,s^-1,32,-62
"Emiliania huxleyi strain M181, Bigelow 1A1",Pontosphaera huxleyi,Conte et al. (1998),growth rate,12,4.17E-06,s^-1,32,-62
"Emiliania huxleyi strain M181, Bigelow 1A1",Pontosphaera huxleyi,Conte et al. (1998),growth rate,15,0.000005787,s^-1,32,-62
"Emiliania huxleyi strain M181, Bigelow 1A1",Pontosphaera huxleyi,Conte et al. (1998),growth rate,18,7.52E-06,s^-1,32,-62
"Emiliania huxleyi strain M181, Bigelow 1A1",Pontosphaera huxleyi,Conte et al. (1998),growth rate,21,1.01E-05,s^-1,32,-62
"Emiliania huxleyi strain M181, Bigelow 1A1",Pontosphaera huxleyi,Conte et al. (1998),growth rate,24,1.17E-05,s^-1,32,-62
"Emiliania huxleyi strain M181, Bigelow 1A1",Pontosphaera huxleyi,Conte et al. (1998),growth rate,27,9.72E-06,s^-1,32,-62
Emiliania huxleyi,Pontosphaera huxleyi,Rhodes et al. (1995),growth rate,10,0,s^-1,-46.98,168.12
Emiliania huxleyi,Pontosphaera huxleyi,Rhodes et al. (1995),growth rate,15,0.00000625,s^-1,-46.98,168.12
Emiliania huxleyi,Pontosphaera huxleyi,Rhodes et al. (1995),growth rate,20,1.13E-05,s^-1,-46.98,168.12
Emiliania huxleyi,Pontosphaera huxleyi,Rhodes et al. (1995),growth rate,25,1.12E-05,s^-1,-46.98,168.12
Emiliania huxleyi,Pontosphaera huxleyi,Rhodes et al. (1995),growth rate,30,0,s^-1,-46.98,168.12
Emiliania huxleyi,Pontosphaera huxleyi,Watabe & Wilbur (1966),growth rate,7,0.000003125,s^-1,32.17,-64.5
Emiliania huxleyi,Pontosphaera huxleyi,Watabe & Wilbur (1966),growth rate,18,1.02E-05,s^-1,32.17,-64.5
Emiliania huxleyi,Pontosphaera huxleyi,Watabe & Wilbur (1966),growth rate,24,1.02E-05,s^-1,32.17,-64.5
Emiliania huxleyi,Pontosphaera huxleyi,Watabe & Wilbur (1966),growth rate,27,5.21E-06,s^-1,32.17,-64.5
Emiliania huxleyi strain S. Africa,Pontosphaera huxleyi,Conte et al. (1998),growth rate,9,0,s^-1,-29.82,31.02
Emiliania huxleyi strain S. Africa,Pontosphaera huxleyi,Conte et al. (1998),growth rate,12,3.47E-06,s^-1,-29.82,31.02
Emiliania huxleyi strain S. Africa,Pontosphaera huxleyi,Conte et al. (1998),growth rate,15,4.86E-06,s^-1,-29.82,31.02
Emiliania huxleyi strain S. Africa,Pontosphaera huxleyi,Conte et al. (1998),growth rate,18,7.52E-06,s^-1,-29.82,31.02
Emiliania huxleyi strain S. Africa,Pontosphaera huxleyi,Conte et al. (1998),growth rate,21,0.000009375,s^-1,-29.82,31.02
Emiliania huxleyi strain S. Africa,Pontosphaera huxleyi,Conte et al. (1998),growth rate,24,1.02E-05,s^-1,-29.82,31.02
Emiliania huxleyi strain S. Africa,Pontosphaera huxleyi,Conte et al. (1998),growth rate,27,7.06E-06,s^-1,-29.82,31.02
Emiliania huxleyi strain S. Africa,Pontosphaera huxleyi,Conte et al. (1998),growth rate,27,0.000009838,s^-1,-29.82,31.02
Emiliania huxleyi clone M,Pontosphaera huxleyi,Mjaaland (1956),growth rate,5,0,s^-1,66,2
Emiliania huxleyi clone M,Pontosphaera huxleyi,Mjaaland (1956),growth rate,7,0,s^-1,66,2
Emiliania huxleyi clone M,Pontosphaera huxleyi,Mjaaland (1956),growth rate,10,1.62E-06,s^-1,66,2
Emiliania huxleyi clone M,Pontosphaera huxleyi,Mjaaland (1956),growth rate,15,3.01E-06,s^-1,66,2
Emiliania huxleyi clone M,Pontosphaera huxleyi,Mjaaland (1956),growth rate,20,5.67E-06,s^-1,66,2
Emiliania huxleyi clone M,Pontosphaera huxleyi,Mjaaland (1956),growth rate,25,4.17E-06,s^-1,66,2
Eucampia zodiacus,Eucampia zodiacus,Nishikawa & Yamaguchi (2006),growth rate,8,1.13E-05,s^-1,34.5,134.58
Eucampia zodiacus,Eucampia zodiacus,Nishikawa & Yamaguchi (2006),growth rate,9,1.23E-05,s^-1,34.5,134.58
Eucampia zodiacus,Eucampia zodiacus,Nishikawa & Yamaguchi (2006),growth rate,13,1.57E-05,s^-1,34.5,134.58
Eucampia zodiacus,Eucampia zodiacus,Nishikawa & Yamaguchi (2006),growth rate,15,2.12E-05,s^-1,34.5,134.58
Eucampia zodiacus,Eucampia zodiacus,Nishikawa & Yamaguchi (2006),growth rate,20,3.56E-05,s^-1,34.5,134.58
Eucampia zodiacus,Eucampia zodiacus,Nishikawa & Yamaguchi (2006),growth rate,25,3.50E-05,s^-1,34.5,134.58
Eudorina californica,Eudorina californica,Moss (1973),growth rate,10,0,s^-1,NA,NA
Eudorina californica,Eudorina californica,Moss (1973),growth rate,14,3.47E-07,s^-1,NA,NA
Eudorina californica,Eudorina californica,Moss (1973),growth rate,20,0.000003588,s^-1,NA,NA
Eudorina californica,Eudorina californica,Moss (1973),growth rate,24,3.01E-06,s^-1,NA,NA
Eudorina californica,Eudorina californica,Moss (1973),growth rate,30,1.85E-06,s^-1,NA,NA
Eudorina californica,Eudorina californica,Moss (1973),growth rate,35,0,s^-1,NA,NA
Eutreptiella gymnastica,Eutreptiella gymnastica,Throndsen (1976),growth rate,5,7.18E-06,s^-1,59.45,10.52
Eutreptiella gymnastica,Eutreptiella gymnastica,Throndsen (1976),growth rate,10,1.27E-05,s^-1,59.45,10.52
Eutreptiella gymnastica,Eutreptiella gymnastica,Throndsen (1976),growth rate,15,1.50E-05,s^-1,59.45,10.52
Eutreptiella gymnastica,Eutreptiella gymnastica,Throndsen (1976),growth rate,20,1.76E-05,s^-1,59.45,10.52
Eutreptiella gymnastica,Eutreptiella gymnastica,Throndsen (1976),growth rate,25,7.87E-06,s^-1,59.45,10.52
